Exercise Name,MainMuscleGroup,DetailedMuscleGroup,OtherMuscleGroups,Type,Mechanics,Equipment,Difficulty,InstructionText,PIC_NO,Link
Weighted Crunches,Abs,,,Strength,Isolation,Weight,Beginner,"Steps : 
_x000D_
1.) Start off laying flat on your back on the ground and feet rested at a 90 degree angle on a bench.
_x000D_
2.) Hold a weight to your chest or extended out in front of you, then slowly elevate your shoulders off of the floor while your lower back keeps you positioned on the floor.
_x000D_
3.) As soon as you feel tension in your abs, squeeze and hold for a few seconds, release and return back to the starting position.
_x000D_
4.) Repeat for as many reps and sets as desired.","['3212', '3213']",https://www.jefit.com/exercises/803/Weighted-Crunches
Dumbbell Incline Hammer Curls,Abs,Lower Abs,,Strength,Isolation,Exercise,Beginner,"The crunches with legs on an exercise ball works the core muscles through the use of an exercise ball.
_x000D_
Steps : 
_x000D_
1.) Start off lying on your back, placing your feet up on an exercise ball, and positioning your hands across your chest or on either side of your head.
_x000D_
2.) Keeping the small of your back on the floor, raise your head, shoulders and chest up and off the floor.
_x000D_
3.) Pause for a moment contracting your abs and then return to the starting position.
_x000D_
4.) Repeat for as many reps and sets as desired.","['1204', '1205']",https://www.jefit.com/exercises/804/Dumbbell-Incline-Hammer-Curls
Machine Curl With Hammer Grip,Biceps,,,Strength,Isolation,Machine,Beginner,"Steps :
_x000D_
1.) Start off sitting on a bicep curl machine that has rotating handles. 
_x000D_
2.) Rest your arms over the padding keeping them straight and grab onto the handles with a neutral (hammer) grip.
_x000D_
3.) Slowly elevate the handles up towards your shoulders, squeezing and isolating your biceps, and hold for a count.
_x000D_
4.) Return to the starting position.
_x000D_
5.) Repeat for as many reps and sets as desired.","['3220', '3221']",https://www.jefit.com/exercises/805/Machine-Curl-With-Hammer-Grip
Standing Biceps Stretch,Biceps,,,Stretching,Isolation,Body,Beginner,"Steps :
_x000D_
1.) Start off by standing up straight, extending your arms behind you and grabbing your hands together behind your back.
_x000D_
2.) Slowly raise your arms, turn your hands so that your palms are facing outward, and feel a stretch in your bicep.
_x000D_
3.) Hold for 15 to 30 seconds then return back to the starting position.
_x000D_
4.) Repeat for as many reps and duration as desired.","['3224', '3225']",https://www.jefit.com/exercises/806/Standing-Biceps-Stretch
Barbell Bent Over Two Arm Row,Shoulders,Traps,"Shoulders , Triceps",Strength,Compound,Bands,Beginner,"The band upright row exercise is a great alternative to the upright row that uses dumbbells or barbells and is great for beginners or individuals just rehabilitating from injury as the bands allow you to control the resistance level.
_x000D_
Steps : 
_x000D_
1.) Stand on the band so that the handles are level with your upper thigh.
_x000D_
2.) With your back straight and abs drawn in raise your hands upward to your collarbone.
_x000D_
3.) Your elbows and arms should be parallel with the floor.
_x000D_
4.) Slowly lower your arms and return to starting position.
_x000D_
5.) Repeat for as many reps and sets as desired.","['740', '741']",https://www.jefit.com/exercises/807/Barbell-Bent-Over-Two-Arm-Row
Dumbbell Palms In Bent Over Row - Chest,Chest,Upper Chest,"Shoulders , Triceps",Strength,Compound,"Dumbbell , Bench",Beginner,"Steps : 
_x000D_
1.) Start off positing yourself in front of a free standing incline bench, grabbing a dumbbell in each hand with your palms facing in towards one another.
_x000D_
2.) Sit down on the edge of the bench and lean back holding the dumbbell in each hand and rested upon your thighs.
_x000D_
3.) Press the dumbbells up in a explosive motion and once at the top position hold for a count.
_x000D_
4.) Squeeze your chest muscles and then return back to the starting position.
_x000D_
5.) Repeat for as many reps and sets as desired.","['120', '121']",https://www.jefit.com/exercises/808/Dumbbell-Palms-In-Bent-Over-Row
Cat Stretch,Chest,,,Strength,Isolation,"Bench , Machine - Strength",Intermediate,"Steps :
_x000D_
1.) Start off laying back on an incline bench facing away from a cable machine.
_x000D_
2.) Grab a cable and hold it one hand in an overhand grip, bringing the cable to about level with your right pec and elbow bent at 90 degrees.
_x000D_
3.) Once in position, slowly press and extend your arm straight out until you feel tension in your chest, and hold for a count.
_x000D_
4.) Repeat for as many reps and sets desired.","['2916', '2917']",https://www.jefit.com/exercises/809/Cat-Stretch
Medicine Ball Catch and Overhead Throw,Back,Lats,"Abs , Shoulders",Strength,Compound,Others,Beginner,Targeted Muscle Group,"['3240', '3241', '3242']",https://www.jefit.com/exercises/810/Medicine-Ball-Catch-and-Overhead-Throw
Chair Lower Back Stretch,Back,Lats,Biceps,Strength,Compound,"Machine - Strength , Bench",Beginner,"Steps :
_x000D_
1.) Start off sitting on a bench in front of a low pulley cable machine with one handle attached.
_x000D_
2.) Grab the handle with one arm in a pronated grip (palms facing out) and then pull the handle down, squeezing in your lats as you come down until you feel a tension in the muscle.
_x000D_
3.) Hold for a count then return back to the starting position.
_x000D_
4.) Repeat for as many reps and sets as desired.","['3300', '3301']",https://www.jefit.com/exercises/811/Chair-Lower-Back-Stretch
Crossover Reverse Lunge,Abs,,,Strength,Isolation,"Machine - Strength , Bench",Beginner,"Steps : 
_x000D_
1.) Begin by taking an ankle strap and connecting it to a low pulley cable machine.
_x000D_
2.) Sit down in front of the machine and attach the cable to your ankles, then lie down and elevate your legs up bending your knees at a 90 degree angle.
_x000D_
3.) Keep your hands behind your head and bring your knees inward towards your core until you feel tension on your abs.
_x000D_
4.) Hold this position for a count then slowly bring your hips and legs back to the 90 degree angle and repeat for as many reps and sets desired.","['3148', '3149']",https://www.jefit.com/exercises/812/Crossover-Reverse-Lunge
Dancer,Triceps,,,Strength,Isolation,"Machine - Strength , Bench",Intermediate,"Steps :
_x000D_
1.) Begin by attaching a bar to a low pulley cable machine and then lie with your back on an inline bench with your feet flat on the floor.
_x000D_
2.) Grab the bar and hold it just over your eyes with your arms extended and elbows bent.
_x000D_
3.) Begin to bend your elbows straight out and extend the bar out straight in front of you until you feel a stretch in your triceps.
_x000D_
4.) Hold this position for a count and return back to the start.
_x000D_
5.) Repeat for as many reps and sets desired.","['3100', '3101']",https://www.jefit.com/exercises/813/Dancer
Dynamic Back Stretch,Chest,,Abs,Strength,Isolation,"Dumbbell , Exercise Ball",Intermediate,"Steps : 
_x000D_
1.) Start by sitting on an exercise ball with a dumbbell in each hand.
_x000D_
2.) Slowly roll down making sure that your head and shoulders are on the ball and your feet are planted firmly on the floor in front of you.
_x000D_
3.) Begin with the weights on your chest and slowly push them up towards the ceiling during your exhale and then inhaling when returning the weights back to the starting position.
_x000D_
4.) Repeat for as many reps and sets as desired.","['2488', '2489']",https://www.jefit.com/exercises/814/Dynamic-Back-Stretch
Exercise Ball Hug,Back,,,Stretching,Isolation,Exercise,Beginner,"Steps :
_x000D_
1.) Start off sitting on the floor with an exercise ball in between your legs and close to your body.
_x000D_
2.) Hug your arms around the exercise ball as a support for your body during this stretch 
_x000D_
3.) Then position your feet so that they are flat on the floor.
_x000D_
4.) Grip tightly against the exercise ball feeling a full stretch in your back and hold for about 15 to 30 seconds.
_x000D_
5.) Repeat for as many reps and however long you desire.","['3260', '3261']",https://www.jefit.com/exercises/815/Exercise-Ball-Hug
Cable Elevated Rows,Back,,"Forearm , Glutes",Strength,Compound,"Barbell , Machine - Strength",Intermediate,"Steps : 
_x000D_
1.) Start off by setting up a power rack with a barbell rested upon pins just below your knees and then position yourself right against the bar.
_x000D_
2.) Bend slightly in the knees just as in a deadlift position and while keeping your head looking forward, extend upward through your hips pulling the bar up until you lock with your knees.
_x000D_
3.) Straighten out, hold for a count then return back to the starting position.
_x000D_
4.) Repeat for as many reps and sets as desired.","['3316', '3317']",https://www.jefit.com/exercises/816/Cable-Elevated-Rows
Hug Knees to Chest,Back,,"Abs , Glutes",Stretching,,Body,Beginner,"Steps : 
_x000D_
1.) Start off laying with your back on a mat and knees pulled up towards your chest.
_x000D_
2.) Then place your arms underneath your knees and pull them towards your shoulders, feeling a stretch in your lower back and glutes.
_x000D_
3.) Hold this position for 15 to 30 seconds then return back to the starting position.
_x000D_
4.) Repeat for as many reps and duration as desired.","['3268', '3269']",https://www.jefit.com/exercises/817/Hug-Knees-to-Chest
Inverted Row,Back,Lats,,Strength,Compound,Machine,Intermediate,"Steps :
_x000D_
1.) Start off by taking a barbell and placing it on a rack at about waist level.
_x000D_
2.) Position yourself underneath the bar, grabbing it with a shoulder width grip and keeping your body extended straight out with heels on the ground.
_x000D_
3.) Flex up with your elbows, pulling your chest towards the bar until you feel a stretch in your middle to lower back.
_x000D_
4) Hold this position for a count then return back to the starting position.
_x000D_
5.) Repeat for as many reps and sets as desired.","['3272', '3273']",https://www.jefit.com/exercises/818/Inverted-Row
Leverage Machine High Row,Back,Lats,,Strength,Compound,Machine,Beginner,"Steps :
_x000D_
1.) Start off by loading weight onto the leverage machine and adjust the settings so that the handles are just above you and knee pads can comfortably keep you down.
_x000D_
2.) Slowly pull both handles down towards your abs retracting your shoulders back as you motion downwards.
_x000D_
3.) As soon as you reach the bottom and feel tension on your lower back, stop, squeeze your muscles and hold for a count.
_x000D_
4.) Return back to the starting position and repeat for as many reps and sets as desired.","['3276', '3277']",https://www.jefit.com/exercises/819/Leverage-Machine-High-Row
Leverage Machine Iso Row,Back,Lats,,Strength,Compound,Machine,Beginner,"Steps: 
_x000D_
1.) Start off by loading the amount of weight that you want onto the machine and then adjusting the levels of the seat so that the handles are just at chest level.
_x000D_
2.) Grab the handles with either a grip that is comfortable for you and will target your back muscles the best.
_x000D_
3.) Slowly pull the handles in towards your chest, retracting your shoulders back through the elbows until you feel tension on your muscles.
_x000D_
4.) Hold for a count then return back to the starting position.
_x000D_
5.) Repeat for as many reps and sets as desired.","['3280', '3281']",https://www.jefit.com/exercises/820/Leverage-Machine-Iso-Row
Barbell Lying Cambered Row,Chest,,"Shoulders , Triceps",Strength,Compound,Body,Beginner,"Steps : 
_x000D_
1.) Start off by getting yourself into a pushup position with arms shoulder width apart and feet extended behind you with toes flat on the floor.
_x000D_
2.) Take one leg and place it over the other so that only one foot is positioned on the floor.
_x000D_
3.) Slowly lower yourself down until your chest almost touches the floor then hold for a count.
_x000D_
4.) Return back to the starting position.
_x000D_
5.) Repeat for as many reps and sets as desired.","['4212', '4213']",https://www.jefit.com/exercises/821/Barbell-Lying-Cambered-Row
Middle Back Stretch,Back,Lats,,Stretching,Isolation,Body,Beginner,"Steps :
_x000D_
1.) Start off standing up straight with your feet shoulder width apart and your hands rested upon your hips.
_x000D_
2.) Slowly twist at your waist so that you feel a stretch in your middle to lower back.
_x000D_
3.) Hold for 15 to 30 seconds, return to the starting position and repeat with the opposite side.
_x000D_
4.) Repeat for as many reps and long as you desire.","['3288', '3289']",https://www.jefit.com/exercises/822/Middle-Back-Stretch
Mixed Grip Chin Up,Back,Lats,Biceps,Strength,Compound,Pullup,Intermediate,"Steps :
_x000D_
1.) Start off by standing in front of and grabbing a pull up bar with one hand facing forward palms out and the opposite facing inward palms in.
_x000D_
2.) Once you have a firm grip, slowly pull yourself up and squeezing on your back muscles as you reach the peak position.
_x000D_
3.) Make sure that you keep your elbows as close to your body as possible so you can get the best contraction on your muscles.
_x000D_
4.) Hold this position for a count then return back to the start.
_x000D_
5.) Repeat for as many reps and sets as desired.","['3292', '3293']",https://www.jefit.com/exercises/823/Mixed-Grip-Chin-Up
One Arm Against Wall,Back,,,Stretching,Isolation,Body,Beginner,"Steps :
_x000D_
1.) Start off standing straight up, feet shoulder width apart next to a wall.
_x000D_
2.) Lean forward against the wall, keeping your feet firmly planted on the ground and knees slightly bent, and place one arm against the wall with the forearm being rested upon the wall the most.
_x000D_
3.) Slowly lean onto your arm until you feel a stretch in your back.
_x000D_
4.) Hold for 15 to 30 seconds then return back to the starting position.
_x000D_
5.) Repeat for as many reps and length as desired.","['3296', '3297']",https://www.jefit.com/exercises/824/One-Arm-Against-Wall
Cable One Arm Lat Pulldown,Biceps,,,Strength,Isolation,"Bench , EZ Curl Bar",Intermediate,"The spider curl exercise utilizes the straight side of a preacher bench to increase the range of motion of the exercise.
_x000D_
Steps :
_x000D_
1.) Start off by taking a preacher bench and turning it around so that you are leaning up against the angled side.
_x000D_
2.) Grab onto a barbell with a palms up close grip, then lean up against the bench and lower the bar on the flat side and fully extend your arms.
_x000D_
3.) Slowly curl the bar up, isolating the biceps, until they touch your forearms.
_x000D_
4.) Hold onto this position for a count then return back to the starting position.
_x000D_
5.) Repeat for as many reps and sets as desired.","['420', '421']",https://www.jefit.com/exercises/825/Cable-One-Arm-Lat-Pulldown
Medicine Ball Overhead Slam,Back,Lats,Abs,Strength,Compound,Others,Beginner,"Steps :
_x000D_
1.) Start off standing up straight with your feet shoulder width apart and your arms behind your head holding a medicine ball.
_x000D_
2.) Raise the ball above your head fully extending your body and arms.
_x000D_
3.) With your force, slam the ball into the ground in front of you as hard as you can and follow through.
_x000D_
4.) With the follow through receive the ball from the bounce up.
_x000D_
5.) Repeat for as many reps and sets as desired.","['3304', '3305']",https://www.jefit.com/exercises/826/Medicine-Ball-Overhead-Slam
Pelvic Tilt Into Bridge,Back,Lower Back,,Stretching,Isolation,Body,Intermediate,"Steps :
_x000D_
1.) Start of laying with your back on a mat with your feet flat on the floor and your heels directly underneath your knees.
_x000D_
2.) Slowly lift up through your tailbone and bring your torso up to the ceiling so that you stretch out your lower back.
_x000D_
3.) As soon as you feel tension in your lower back, hold for 15 to 30 seconds.
_x000D_
4.) Return back to the starting position and repeat for as long and as many reps as desired.","['3308', '3309']",https://www.jefit.com/exercises/827/Pelvic-Tilt-Into-Bridge
Exercise Ball Pyramid,Back,Lats,Shoulders,Stretching,,Exercise,Beginner,"Steps : 
_x000D_
1.) Start off by rolling your body onto an exercise ball so that your hips are rested on top of the ball.
_x000D_
2.) Extend your feet out behind you and arms out in front of you on the floor.
_x000D_
3.) Squeeze with your lower back so that you feel a tension in the muscles.
_x000D_
4.) Hold onto this position for 15 to 30 seconds and then return back to the starting position.
_x000D_
5.) Repeat for as many reps and however long you desire.","['3312', '3313']",https://www.jefit.com/exercises/828/Exercise-Ball-Pyramid
Barbell Rack Pulls,Shoulders,Traps,"Triceps , Back",Strength,Compound,"Bands , Machine - Strength",Beginner,"Steps : 
_x000D_
1.) To begin this exercise; start off by taking a band with cable grips and wrapping it around a post on a workout machine.
_x000D_
2.) Holding onto the handles, stand back a few feet from post so that the bands are tightened, extend your arms in front of you then move your arms to the sides and backward.
_x000D_
3.) Keep your arms extended the entire time and parallel with the floor and at shoulder level. 
_x000D_
4.) Hold onto this position for a few seconds.
_x000D_
5.) Return back to the starting position.
_x000D_
6.) Repeat this exercise for as many repetitions as needed.","['212', '213']",https://www.jefit.com/exercises/829/Barbell-Rack-Pulls
Side Lying Floor Stretch,Back,Lats,,Stretching,,Body,Beginner,"Steps :
_x000D_
1.) Start off laying on your side, keeping your one knee slightly bent in front of you and the other extended out behind the bent.
_x000D_
2.) Extend your arms out over your head, hands on top of each other, reaching out above you.
_x000D_
3.) Hold this position for 15 to 30 seconds and then release.
_x000D_
4.) Repeat for as many reps and duration as desired.","['3320', '3321']",https://www.jefit.com/exercises/830/Side-Lying-Floor-Stretch
Spinal Stretch,Back,Lats,,Stretching,Isolation,Exercise,Beginner,"Steps :
_x000D_
1.) Start off sitting in a chair so that your back is straight, feet are planted on the floor, and your hands behind your head with fingers interlaced.
_x000D_
2.) Slowly twist your upper body, through your hips, to one side as far as you can so that the opposite side elbow touches the knee of the leg you are stretching down towards until you feel a stretch in your back.
_x000D_
3.) Hold this position for 15 to 30 seconds then return back to the start.
_x000D_
4.) Repeat for as many reps and as long as you desire.","['3324', '3325']",https://www.jefit.com/exercises/831/Spinal-Stretch
Standing Pelvic Tilt,Back,,Glutes,Stretching,Isolation,Body,Beginner,"Steps :
_x000D_
1.) Start off standing up straight with your feet shoulder width apart and then slowly bend through your knees.
_x000D_
2.) Slowly move your pelvis backward and forward until you feel a stretch in your lower back.
_x000D_
3.) Repeat for as many reps as you desire.","['3328', '3329']",https://www.jefit.com/exercises/832/Standing-Pelvic-Tilt
Upper Back Stretch,Back,Lower Back,,Stretching,,Body,Beginner,"Steps :
_x000D_
1.) Start off standing up straight with your feet shoulder width apart and arms to your sides.
_x000D_
2.) Raise your hands out in front of you, clasp your fingers together and stretch your lower back.
_x000D_
3.) Hold this position for 15 to 30 seconds then return back to the starting position.
_x000D_
4.) Repeat for as many reps and as long as you desire.","['3332', '3333']",https://www.jefit.com/exercises/833/Upper-Back-Stretch
Weighted Pull Ups,Back,Lats,Biceps,Strength,Compound,"Pullup Bar , Weight Plate",Intermediate,"Steps :
_x000D_
1.) Start off by positioning yourself in front of a pull up bar with a weight attached to a dip belt that is secured around your waist.
_x000D_
2.) Grab the pull up bar and slowly pull yourself up until your hands are above your head and squeeze your back muscles.
_x000D_
3.) Hold this position for a count then return back to the start.
_x000D_
4.) Repeat for as many reps and sets as desired.","['3336', '3337']",https://www.jefit.com/exercises/834/Weighted-Pull-Ups
Behind Head Chest Stretch,Upper Legs,Traps,Glutes,Strength,Compound,Barbell,Intermediate,"The barbell jefferson squat is a rarely used exercise but it is one of the best to help build and shape the inner thighs.
_x000D_
Steps :
_x000D_
1.) Start off by placing a barbell between your legs so it is perpendicular to your feet.
_x000D_
2.) Grasp the barbell with one hand in front of you and one hand behind you with an overhand grip.
_x000D_
3.) Squatting down so your thighs are parallel to the floor slowly lift the weight up between your legs as you stand.
_x000D_
4.) Slowly return to a starting position just above the floor.
_x000D_
5.) Repeat for as many reps and sets as desired.","['836', '837']",https://www.jefit.com/exercises/835/Behind-Head-Chest-Stretch
Butterfly,Upper Legs,Traps,"Shoulders , Back",Strength,Compound,Barbell,Intermediate,"The one arm snatch exercise is an advanced workout that targets most of the muscles of the body and helps improve overall strength.
_x000D_
Steps : 
_x000D_
1.) Start off standing with your feet shoulder width apart, and a slight bend in your knees.
_x000D_
2.) Grasp the bar with an overhead grip.
_x000D_
3.) Starting with the barbell held slightly above the knees, lift the weight up over your head, then back to shoulder height and finally back to starting position between near your knees.","['828', '829']",https://www.jefit.com/exercises/836/Butterfly
Chest and Front of Shoulder Stretch,Biceps,,,Strength,Isolation,"Bench , Machine - Strength",Beginner,"Steps :
_x000D_
1.) Start off setting up either a handle on a low pulley cable machine and place a preacher bench in front of the machine.
_x000D_
2.) Grab onto the handle with an underhand grip, then sit down on the bench with your forearm rested over the padding and feet flat on the floor in front of you.
_x000D_
3.) Keep your arm extended out in front of you then slowly curl the handle up towards your chest, isolating your bicep and squeeze.
_x000D_
4.) Hold for a count then return back to the starting position.
_x000D_
5.) Repeat for as many reps and sets as desired.","['5128', '5129']",https://www.jefit.com/exercises/837/Chest-and-Front-of-Shoulder-Stretch
Medicine Ball Chest Push Multiple Response,Chest,,"Abs , Shoulders",Strength,Compound,Others,Beginner,Targeted Muscle Group,"['3352', '3353', '3354']",https://www.jefit.com/exercises/838/Medicine-Ball-Chest-Push-Multiple-Response
Medicine Ball Chest Push Single Response,Chest,,"Abs , Shoulders",Strength,Compound,Others,Beginner,Targeted Muscle Group,"['3352', '3353', '3354']",https://www.jefit.com/exercises/839/Medicine-Ball-Chest-Push-Single-Response
Exercise Ball Chest Stretch,Chest,,,Stretching,Isolation,Exercise,Beginner,"Steps :
_x000D_
1.) Start off by positioning yourself next to an exercise ball in a kneeling position with one arm rested upon the ball and other keeping your body upright with hand firmly on the floor.
_x000D_
2.) Slowly lower your body towards the floor until you feel a stretch in your chest.
_x000D_
3.) Hold this position for 15 to 30 seconds and then return to the starting position.
_x000D_
4.) Repeat for as long and as many times as you desire.","['3360', '3361']",https://www.jefit.com/exercises/840/Exercise-Ball-Chest-Stretch
Medicine Ball Chest Push with Run Release,Chest,,"Abs , Shoulders",Strength,Compound,Others,Beginner,Targeted Muscle Group,"['3364', '3365', '3366']",https://www.jefit.com/exercises/841/Medicine-Ball-Chest-Push-with-Run-Release
Medicine Ball Chest Push from 3 Point Stance,Chest,,"Abs , Shoulders",Strength,Compound,Others,Beginner,Targeted Muscle Group,"['3368', '3369', '3370', '3371']",https://www.jefit.com/exercises/842/Medicine-Ball-Chest-Push-from-3-Point-Stance
Downward Facing Balance,Shoulders,Traps,"Biceps , Back",Strength,Compound,Machine,Beginner,"Steps : 
_x000D_
1.) To begin this exercise; start off in the same position as a seated cable row in front of a cable machine.
_x000D_
2.) Taking an overhead rope, grab it with an overhand grip keeping your back straight and knees bent.
_x000D_
3.) Then pull the cable towards your chest bringing your elbows pushed out towards the sites holding on for a few seconds squeezing tightly.
_x000D_
4.) Return back to the starting position.
_x000D_
5.) Repeat this exercise for as many repetitions as needed.","['1608', '1609']",https://www.jefit.com/exercises/843/Downward-Facing-Balance
Weighted Drop Push Up,Chest,,,Strength,Isolation,"Bench , Weight Plate",Intermediate,Targeted Muscle Group,"['3376', '3377', '3378', '3379']",https://www.jefit.com/exercises/844/Weighted-Drop-Push-Up
Drop Push Up,Shoulders,,Shoulders,Strength,Compound,"Machine - Strength , Bench",Beginner,"Steps :
_x000D_
1.) Start off setting up either a V-Bar or Rope Extension on a low pulley cable machine and sit down flat on the floor or on a bench with your feet facing towards the machine, grasping the rope and bringing it to knee level.
_x000D_
2.) Slowly, while keeping your body still, pull the rope in towards your chest and up to your neck, squeezing your shoulders and hold for a count.
_x000D_
3.) Return back to the starting position.
_x000D_
4.) Repeat for as many reps and sets as desired.","['4628', '4629']",https://www.jefit.com/exercises/845/Drop-Push-Up
Dynamic Chest Stretch,Back,,"Glutes , Shoulders",Strength,Compound,"Dumbbell , Exercise Ball",Intermediate,"Steps :
_x000D_
1.) Start off laying prone with your hips on an exercise ball with each hand gripping a dumbbell and arms at the sides of the ball.
_x000D_
2.) Once in position, pull one of the weights upwards, keeping the other still positioned at your side, and retract your shoulder to reach its peak until you feel a stretch.
_x000D_
3.) Slowly return back to the starting position, alternate with the opposite arm and repeat for as many reps and sets desired.","['3052', '3053']",https://www.jefit.com/exercises/846/Dynamic-Chest-Stretch
Elbows Back Stretch,Back,,"Glutes , Shoulders",Strength,Compound,"Dumbbell , Exercise Ball",Intermediate,"Steps :
_x000D_
1.) Start off laying prone with your hips on an exercise ball with one hand gripping a dumbbell and other arm at the side of the ball.
_x000D_
2.) Once in position, pull the weight upwards, keeping your elbow wide, and retract your shoulder to reach its peak until you feel a stretch.
_x000D_
3.) Slowly return back to the starting position and repeat for as many reps and sets desired.","['3048', '3049']",https://www.jefit.com/exercises/847/Elbows-Back-Stretch
Incline Push Up Depth Jump,Chest,,"Shoulders , Triceps",Strength,Compound,"Bench , Others",Intermediate,Targeted Muscle Group,"['3392', '3393', '3394', '3395']",https://www.jefit.com/exercises/848/Incline-Push-Up-Depth-Jump
Isometric Chest Squeeze,Chest,,"Shoulders , Triceps",Strength,Compound,Body,Beginner,"Steps :
_x000D_
1.) Start off standing up straight with your arms at your sides and your feet shoulder width apart.
_x000D_
2.) Place your arms in a 90 degree angle right in front of your chest with your palms together.
_x000D_
3.) Push your hands against each other and contract your chest until you feel tension in your muscles.
_x000D_
4.) Hold onto this position for 15 to 30 seconds then return back to the starting position.
_x000D_
5.) Repeat for as many reps and duration as desired.","['3396', '3397']",https://www.jefit.com/exercises/849/Isometric-Chest-Squeeze
Leg Over Floor Press,Chest,,"Shoulders , Triceps",Strength,Compound,Kettlebell,Beginner,"Steps :
_x000D_
1.) Start off laying on the floor on your side with a kettlebell in one hand resting upon your chest, one leg stretched out in front of you over your other leg extended behind you.
_x000D_
2.) Slowly press the kettlebell into a locked out position over your chest then slowly lower the weight until your elbow touches the ground still keeping the kettlebell elevated.
_x000D_
3.) Repeat for as many reps and sets as desired.","['3400', '3401']",https://www.jefit.com/exercises/850/Leg-Over-Floor-Press
Leverage Chest Press,Chest,,"Shoulders , Triceps",Strength,Compound,Machine,Beginner,"Steps :
_x000D_
1.) Start off loading the necessary amount of weight onto the leverage machine, adjusting the seat to where the handles are just beneath your pecs.
_x000D_
2.) Keep your head and chest up, press the handles forward extending through your elbows until you feel a tension in your chest.
_x000D_
3.) Hold for a count then return back to the starting position.
_x000D_
4.) Repeat for as many reps and sets as desired.","['3404', '3405']",https://www.jefit.com/exercises/851/Leverage-Chest-Press
Leverage Decline Chest Press,Chest,,"Shoulders , Triceps",Strength,Compound,Machine,Beginner,"Steps :
_x000D_
1.) Start off loading the necessary amount of weight onto the leverage machine, adjusting the seat to where the handles are just beneath your pecs.
_x000D_
2.) Keeping your head and chest up, press the handles forward extending through your elbows until you feel a tension in your chest.
_x000D_
3.) Hold for a count then return back to the starting position.
_x000D_
4.) Repeat for as many reps and sets as desired.","['3408', '3409']",https://www.jefit.com/exercises/852/Leverage-Decline-Chest-Press
Leverage Incline Chest Press,Chest,,"Shoulders , Triceps",Strength,Compound,Machine,Beginner,"Steps :
_x000D_
1.) Start off loading the necessary amount of weight onto the leverage machine, adjusting the seat to where the handles are just above your pecs.
_x000D_
2.) Keeping your head and chest up, press the handles forward extending through your elbows until you feel a tension in your chest.
_x000D_
3.) Hold for a count then return back to the starting position.
_x000D_
4.) Repeat for as many reps and sets as desired.","['3412', '3413']",https://www.jefit.com/exercises/853/Leverage-Incline-Chest-Press
Medicine Ball Chest Pass,Chest,,"Shoulders , Triceps",Strength,Compound,Others,Beginner,"Steps :
_x000D_
1.) You can use either a partner or a wall in this exercise.
_x000D_
2.) Start off standing up straight with your feet shoulder width apart and an exercise in between your hands up against your chest.
_x000D_
3.) Extend through your elbow and push the medicine ball forward towards your partner or the wall.
_x000D_
4.) Receive the throw back with both of your hands at chest level and repeat for as many reps and sets as desired.","['3416', '3417']",https://www.jefit.com/exercises/854/Medicine-Ball-Chest-Pass
Neck Press,Chest,,"Shoulders , Triceps",Strength,Compound,"Barbell , Machine - Strength",Intermediate,"Steps :
_x000D_
1.) Start off laying with your back on a flat bench using a medium grip on the barbell above you.
_x000D_
2.) Slowly lift the bar over your neck with your arms locked then come down until the bar is on your neck.
_x000D_
3.) Hold this position for a count then return back to the starting position squeezing with your chest as you push up.
_x000D_
4.) Repeat for as many reps and sets as desired.","['3420', '3421']",https://www.jefit.com/exercises/855/Neck-Press
Dumbbell One Arm Bench Press - Shoulders,Shoulders,,Triceps,Strength,Compound,Dumbbell,Beginner,"Steps :
_x000D_
1.) Start off standing up straight with your feet shoulder width apart, holding a dumbbell in both hands at head level in a neutral grip so that your palms are facing in.
_x000D_
2.) Slowly elevate one of the dumbbells up and above your head while squeezing your shoulder.
_x000D_
3.) Hold for a count then return back to the starting position then repeat with the opposite arm.
_x000D_
4.) Repeat for as many reps and sets as desired.","['4472', '4473']",https://www.jefit.com/exercises/856/Dumbbell-One-Arm-Bench-Press
Plyo Push Up,Chest,,"Shoulders , Triceps",Strength,Compound,Body,Beginner,Targeted Muscle Group,"['3428', '3429', '3430']",https://www.jefit.com/exercises/857/Plyo-Push-Up
Push Up to Side Plank,Chest,,"Shoulders , Triceps",Strength,Compound,Body,Intermediate,Targeted Muscle Group,"['3432', '3433', '3434']",https://www.jefit.com/exercises/858/Push-Up-to-Side-Plank
Push Up with Feet Elevated,Chest,,"Shoulders , Triceps",Strength,Compound,Bench,Intermediate,"Steps :
_x000D_
1.) Start off in a push up position with a flat bench positioned behind your feet. 
_x000D_
2.) Elevate your feet and place them either in the middle of the bench or at the edge of it (depending on the position of the bench) so that your body is elevated off of the floor.
_x000D_
3.) Slowly lower yourself down towards the ground until your chest almost touches the floor and you feel tension in your muscles.
_x000D_
4.) Hold this position for a second then return back to the starting position, pushing up with your pecs and squeezing your chest on the way up.
_x000D_
5.) Repeat for as many reps and sets as desired.","['3436', '3437']",https://www.jefit.com/exercises/859/Push-Up-with-Feet-Elevated
